model	variant	ctx	greenboost	suite	status	prompt_tps	response_tps	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	confidence_grade	run_dir
Gemma 4 31B	sq3_k	2048	on	core_matrix_v1_ctx2048	ok			97.0112	5551	4567	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T224446Z_gemma4-31b-sq3-longctx-2048
Gemma 4 31B	planar3_k	2048	on	core_matrix_v1_ctx2048	ok			96.0670	5530	4546	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T225636Z_gemma4-31b-planar3-longctx-2048
Gemma 4 31B	iso3_k	2048	on	core_matrix_v1_ctx2048	ok			96.0670	5532	4544	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T230757Z_gemma4-31b-iso3-longctx-2048
Nemotron 120B	tq1_k	2048	on	core_matrix_v1_ctx2048	ok			3.8195	6749	5755	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T231902Z_nemotron120b-tq1-longctx-2048
Nemotron 120B	tq3_k	2048	on	core_matrix_v1_ctx2048	ok			3.8561	6950	5956	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T233720Z_nemotron120b-tq3-longctx-2048
Nemotron 120B	sq3_k	2048	on	core_matrix_v1_ctx2048	ok			3.8561	6793	5769	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T235517Z_nemotron120b-sq3-longctx-2048
Nemotron 120B	planar3_k	2048	on	core_matrix_v1_ctx2048	ok			3.8238	6789	5746	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260411T001346Z_nemotron120b-planar3-longctx-2048
Nemotron 120B	iso3_k	2048	on	core_matrix_v1_ctx2048	ok			3.8238	6789	5756	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260411T003040Z_nemotron120b-iso3-longctx-2048
Mistral 119B	tq1_k	2048	on	core_matrix_v1_ctx2048	ok			93376.2709	7753	6720	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260411T004743Z_mistral119b-tq1-longctx-2048
Mistral 119B	tq3_k	2048	on	core_matrix_v1_ctx2048	ok			108913.4375	7615	6699	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260411T010111Z_mistral119b-tq3-longctx-2048
Mistral 119B	sq3_k	2048	on	core_matrix_v1_ctx2048	ok			105048.8896	7615	6699	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260411T011443Z_mistral119b-sq3-longctx-2048
Mistral 119B	planar3_k	2048	on	core_matrix_v1_ctx2048	failed				6087	5171	20260410_long_context_corpus_repeat8.txt	8	F	runs/20260411T012813Z_mistral119b-planar3-longctx-2048
Mistral 119B	iso3_k	2048	on	core_matrix_v1_ctx2048	failed				6087	5171	20260410_long_context_corpus_repeat8.txt	8	F	runs/20260411T013110Z_mistral119b-iso3-longctx-2048
Qwen 122B	baseline	2048	on	core_matrix_v1_ctx2048	failed			3.3143	8007	7137	20260410_long_context_corpus_repeat8.txt	8	F	runs/20260410T202629Z_qwen122b-baseline-longctx-2048
Gemma 4 31B	baseline	2048	on	core_matrix_v1_ctx2048	failed			94.9096	5385	4515	20260410_long_context_corpus_repeat8.txt	8	F	runs/20260410T203108Z_gemma4-31b-baseline-longctx-2048
Nemotron 120B	baseline	2048	on	core_matrix_v1_ctx2048	failed			3.2360	6607	5737	20260410_long_context_corpus_repeat8.txt	8	F	runs/20260410T204151Z_nemotron120b-baseline-longctx-2048
Mistral 119B	baseline	2048	on	core_matrix_v1_ctx2048	failed				7979	7109	20260410_long_context_corpus_repeat8.txt	8	F	runs/20260410T205118Z_mistral119b-baseline-longctx-2048
Qwen 9B	baseline	8192	on	large_context_stress	ok			1.0940	6473	5557	20260411_long_context_corpus_repeat40.txt	40	C	runs/20260411T021232Z_qwen9b-baseline-ctx8192
Qwen 27B	baseline	8192	on	large_context_stress	failed			10.9697	6777	5861	20260411_long_context_corpus_repeat40.txt	40	F	runs/20260411T021350Z_qwen27b-baseline-ctx8192
Gemma 4 31B	baseline	8192	on	large_context_stress	failed			3.7580	5489	4573	20260411_long_context_corpus_repeat40.txt	40	F	runs/20260411T023310Z_gemma4-31b-baseline-ctx8192
Qwen 9B	baseline	16384	on	large_context_stress	ok			1.0491	6725	5809	20260411_long_context_corpus_repeat40.txt	40	C	runs/20260411T032011Z_qwen9b-baseline-ctx16384
Qwen 27B	baseline	16384	on	large_context_stress	failed			53.0621	6937	6021	20260411_long_context_corpus_repeat40.txt	40	F	runs/20260411T032127Z_qwen27b-baseline-ctx16384
